,Primary,Secondary,true
2700,Games,Books_and_Literature,Internet_and_Telecom
2701,People_and_Society,Science,Health
2702,Autos_and_Vehicles,Shopping,Shopping
2706,Games,Home_and_Garden,Finance
2707,News_and_Media,Sports,Sports
2709,Computer_and_Electronics,Internet_and_Telecom,Sports
2712,Shopping,News_and_Media,Business_and_Industry
2714,News_and_Media,People_and_Society,Health
2715,Computer_and_Electronics,News_and_Media,Internet_and_Telecom
2716,Adult,Gambling,Autos_and_Vehicles
2720,Books_and_Literature,Arts_and_Entertainment,Reference
2723,Business_and_Industry,Internet_and_Telecom,Food_and_Drink
2725,Recreation_and_Hobbies,Pets_and_Animals,Pets_and_Animals
2730,Food_and_Drink,Recreation_and_Hobbies,News_and_Media
2734,Gambling,Games,Games
2736,Health,Beauty_and_Fitness,Career_and_Education
2738,Computer_and_Electronics,Internet_and_Telecom,Sports
2739,Beauty_and_Fitness,Home_and_Garden,Computer_and_Electronics
2742,Arts_and_Entertainment,News_and_Media,People_and_Society
2743,Food_and_Drink,Business_and_Industry,Shopping
2746,Food_and_Drink,Shopping,Science
2748,Law_and_Government,Finance,People_and_Society
2749,Career_and_Education,Science,Reference
2750,Travel,Gambling,Gambling
2755,Games,Computer_and_Electronics,Autos_and_Vehicles
2757,Books_and_Literature,Travel,Travel
2758,Beauty_and_Fitness,Internet_and_Telecom,Adult
2760,Food_and_Drink,Travel,Law_and_Government
2762,Travel,Autos_and_Vehicles,Autos_and_Vehicles
2765,News_and_Media,Internet_and_Telecom,Autos_and_Vehicles
2766,Books_and_Literature,Reference,Internet_and_Telecom
2768,Travel,Recreation_and_Hobbies,Law_and_Government
2770,Beauty_and_Fitness,Internet_and_Telecom,Gambling
2771,Health,News_and_Media,Career_and_Education
2772,Science,Health,News_and_Media
2773,Computer_and_Electronics,Career_and_Education,People_and_Society
2776,Beauty_and_Fitness,Reference,Gambling
2778,Books_and_Literature,Reference,News_and_Media
2779,Beauty_and_Fitness,Shopping,News_and_Media
2780,Games,Reference,Finance
2788,Law_and_Government,Reference,Reference
2789,Games,News_and_Media,People_and_Society
2792,Law_and_Government,Health,Gambling
2795,Business_and_Industry,Computer_and_Electronics,People_and_Society
2797,Computer_and_Electronics,Beauty_and_Fitness,Internet_and_Telecom
2799,Recreation_and_Hobbies,Pets_and_Animals,Law_and_Government
2804,Reference,Beauty_and_Fitness,Books_and_Literature
2806,Beauty_and_Fitness,Shopping,Health
2807,Autos_and_Vehicles,Beauty_and_Fitness,Sports
2808,Sports,Computer_and_Electronics,News_and_Media
2813,Sports,Food_and_Drink,Beauty_and_Fitness
2814,Sports,Home_and_Garden,Beauty_and_Fitness
2815,Business_and_Industry,Computer_and_Electronics,Computer_and_Electronics
2818,Books_and_Literature,News_and_Media,Arts_and_Entertainment
2824,Games,Home_and_Garden,Finance
2826,Recreation_and_Hobbies,Games,Business_and_Industry
2829,News_and_Media,Beauty_and_Fitness,People_and_Society
2833,Shopping,Home_and_Garden,Arts_and_Entertainment
2834,News_and_Media,Pets_and_Animals,Finance
2835,Arts_and_Entertainment,Reference,Recreation_and_Hobbies
2839,Shopping,Games,Autos_and_Vehicles
2840,News_and_Media,Career_and_Education,Books_and_Literature
2845,Computer_and_Electronics,Business_and_Industry,Internet_and_Telecom
2847,Computer_and_Electronics,Games,Career_and_Education
2850,Travel,Autos_and_Vehicles,News_and_Media
2851,Science,Business_and_Industry,News_and_Media
2856,Career_and_Education,Finance,Finance
2857,Autos_and_Vehicles,Internet_and_Telecom,Internet_and_Telecom
2859,News_and_Media,Books_and_Literature,Books_and_Literature
2861,News_and_Media,Career_and_Education,Law_and_Government
2862,Business_and_Industry,Travel,Computer_and_Electronics
2866,Autos_and_Vehicles,Business_and_Industry,Sports
2869,People_and_Society,Health,Beauty_and_Fitness
2871,Health,Career_and_Education,News_and_Media
2874,Computer_and_Electronics,Internet_and_Telecom,Food_and_Drink
2875,Health,Beauty_and_Fitness,Beauty_and_Fitness
2876,Games,Gambling,Shopping
2880,Health,People_and_Society,Internet_and_Telecom
2882,Finance,Books_and_Literature,Books_and_Literature
2883,Gambling,Sports,Sports
2889,Games,Home_and_Garden,Food_and_Drink
2890,Computer_and_Electronics,Arts_and_Entertainment,Finance
2893,Travel,Food_and_Drink,Food_and_Drink
2895,Internet_and_Telecom,Computer_and_Electronics,Computer_and_Electronics
2897,Autos_and_Vehicles,Shopping,Reference
2898,Books_and_Literature,Reference,Adult
2901,Computer_and_Electronics,Beauty_and_Fitness,Books_and_Literature
2904,Business_and_Industry,Gambling,Recreation_and_Hobbies
2905,Law_and_Government,People_and_Society,Business_and_Industry
2906,Games,Arts_and_Entertainment,Recreation_and_Hobbies
2911,Reference,Science,Law_and_Government
2914,Computer_and_Electronics,Business_and_Industry,Internet_and_Telecom
2915,Beauty_and_Fitness,Health,Health
2917,Career_and_Education,Sports,Sports
2926,Computer_and_Electronics,Gambling,Internet_and_Telecom
2930,Science,Computer_and_Electronics,Computer_and_Electronics
2931,Arts_and_Entertainment,Beauty_and_Fitness,Beauty_and_Fitness
2934,Books_and_Literature,Arts_and_Entertainment,Health
2935,Internet_and_Telecom,Computer_and_Electronics,Food_and_Drink
2936,Sports,Books_and_Literature,Autos_and_Vehicles
2939,Internet_and_Telecom,Beauty_and_Fitness,People_and_Society
2942,Health,Career_and_Education,News_and_Media
2944,Law_and_Government,Business_and_Industry,Career_and_Education
2946,Science,Health,Pets_and_Animals
2947,Shopping,Food_and_Drink,Business_and_Industry
2948,Games,Arts_and_Entertainment,Reference
2949,Computer_and_Electronics,Business_and_Industry,Internet_and_Telecom
2951,Sports,Recreation_and_Hobbies,Shopping
2953,Science,News_and_Media,Travel
2955,Gambling,Games,Games
2956,Reference,People_and_Society,Books_and_Literature
2962,Computer_and_Electronics,Adult,Food_and_Drink
2963,Recreation_and_Hobbies,News_and_Media,Law_and_Government
2964,Food_and_Drink,Recreation_and_Hobbies,Shopping
2968,People_and_Society,Books_and_Literature,Reference
2969,Autos_and_Vehicles,Recreation_and_Hobbies,Sports
2970,News_and_Media,Health,Health
2971,Games,Internet_and_Telecom,Books_and_Literature
2974,Shopping,Food_and_Drink,Home_and_Garden
2980,Business_and_Industry,Computer_and_Electronics,Computer_and_Electronics
2983,Science,Pets_and_Animals,Adult
2984,Sports,Home_and_Garden,Recreation_and_Hobbies
